id,name,price,rating,date,weight,category,whatsappLink,isBestSeller,imageSrc/0,imageAlt,description,details/0,details/1,details/2,details/3,details/4,href,details/5,imageSrc/1,imageSrc/2,imageSrc/3,details/6,details/7
27,Rose Pistachios Biscotti,250,4,4/11/22,250,biscuit,https://wa.me/p/4858713960893255/919967551778,false,/images/products/27a.png,Rose Pistachios Biscotti,,All Purpose Flour,Pista,Rose Syrup,Unsalted Butter,Almonds,,,,,,,
28,Whole wheat Oats Biscotti,250,4,4/11/22,200,biscuit,https://wa.me/p/7460488327325374/919967551778,false,/images/products/28a.png,Whole wheat Oats Biscotti,,Cranberry,Pistachios,Almomds,Cashews,Walnuts,,,,,,,
29,Pistachios Rasmalai Cake,520,4,4/11/22,410,dry-cake,https://wa.me/p/5485500588143298/919967551778,false,/images/products/29a.png,Pistachios Rasmalai Cake,,Rasmalai Pieces,Rasmalai Milk,Pistachios,Butter,Condensed Milk,,Rasmalai Essence,,,,,
30,Herbs And Pepper Biscuits,280,4,4/11/22,320,biscuit,https://wa.me/p/4514880738525053/919967551778,false,/images/products/30a.png,Herbs And Pepper Biscuits,,All Purpose Flour,Butter,Oregano,Black Pepper,,,,,,,,
31,Oats And Cranberries Cookies,374,4,4/11/22,340,cookie,https://wa.me/p/5685565841514332/919967551778,false,/images/products/31a.png,Oats And Cranberries Cookies,,All Purpose Flour,Cranberries,Oats,Condensed Milk,,,,,,,,
32,Mix Dry Fruit Cookies,225,4,4/11/22,250,cookie,https://wa.me/p/4258997440820656/919967551778,false,/images/products/32a.png,Mix Dry Fruit Cookies,,All Purpose Flour,Butter,Almonds,Cashews,Pistachios,,Elachi Powder,,,,,
33,GoodDay Biscuits,275,4,4/11/22,250,biscuit,https://wa.me/p/3572716829498729/919967551778,false,/images/products/33a.png,GoodDay Biscuits,,All Purpose Flour,Unsalted Butter,Cashews,Pistachios,,,,,,,,
34,Madeleine Cup Cakes,360,4,4/11/22,100,dry-cake,https://wa.me/p/4180579252032564/919967551778,false,/images/products/34a.png,Madeleine Cup Cakes,,All Purpose Flour,Condensed Milk,Coconut,Mix Fruit Jam,,,,,,,,
35,Kaju Pista Biscuit,300,4,4/11/22,250,biscuit,https://wa.me/p/4934272386599581/919967551778,false,/images/products/35a.png,Kaju Pista Biscuit,,All Purpose Flour,Cashews,Pistachios,,,,,,,,,
36,Wheat Jaggery Almond Cookies,275,4,4/11/22,250,cookie,https://wa.me/p/6137506609607957/919967551778,false,/images/products/36a.png,Wheat Jaggery Almond Cookies,,Whole wheat,Jaggery,Almonds,Desi Ghee,,,,,,,,
37,Raggi Whole Wheat Cake,380,4,4/11/22,700,dry-cake,https://wa.me/p/5751409318266430/919967551778,false,/images/products/37a.png,Raggi Whole Wheat Cake,,Raggi,Whole Wheat,Jaggery,Almonds,Cashews,,,,,,,
38,Chocolate Walnut Cake,480,4,4/11/22,500,dry-cake,https://wa.me/p/4290550387632641/919967551778,false,/images/products/38a.png,Chocolate Walnut Cake,,All Purpose Flour,Chocolate,Walnuts,,,,,,,,,
39,Vanilla Strawberry Cake,350,4,4/11/22,500,dry-cake,https://wa.me/p/4103747566346737/919967551778,false,/images/products/39a.png,Vanilla Strawberry Cake,,All Purpose Flour,Vanilla Essence,Condensed Milk,,,,,,,,,
40,Dry Fruits Mawa Cake,500,4,4/11/22,500,dry-cake,https://wa.me/p/4452692658087770/919967551778,false,/images/products/40a.png,Dry Fruits Mawa Cake,,All Purpose Flour,Mawa,Dry fruits,Condensed Milk,,,,,,,,
41,Vanilla Muffins,250,4,4/11/22,600,dry-cake,https://wa.me/p/4521255481218167/919967551778,false,/images/products/41a.png,Vanilla Muffins,One order contains 12 peices,All Purpose Flour,Condensed Milk,Vanilla Essence,,,,,,,,,
